35     2   165
37     3   203
39     5   120
93    39   120
43     8   122
40     6   124
117    35   165
48    10   112
50    11   161
51    12    52
53    13   168
54    14    55
121    52   162
33     1   172
149    37   203
56    15   125
62    20   156
114    16   147
66    22   126
67    23   242
96    67   242
58    17   175
57    16   166
69    25   169
60    19   196
70    26   210
97    66   126
112    10   146
94     9   151
100    59   160
154    27   198
198    28   243
73    30   256
75    32   190
76    33   244
34    35   117
38     4   123
41     7    42
45     9   128
120     5   164
5    40    98
124     6   170
41    42    95
135    78   263
144    79   177
42    43    95
95    43   122
151    46   208
146    10   188
10    49   157
118    50   161
11    51   121
119    56   171
162    53   168
159    13   217
72    29   216
17    18   100
18    59   100
59    60   160
147    16   233
64    21    65
19    61   143
143    61   200
20    63   127
63    64    97
64    65    97
71    27   154
181    73   256
176    23   226
68    24   141
193    96   246
27    28   198
74    31   211
190    76   244
141    24   201
26    71   116
28    72   243
206    74   211
148    75   190
31    75   148
54    55   119
16    58   233
46    47   208
93    81   185
8    44   122
9    46   151
22    67    96
24    69   201
222    77   260
61    62   200
145    78   183
153    79   182
175    17   238
49    50   118
113    80   163
4    39    93
2    36   165
209    86   250
29    73   181
187    85   251
3    38   184
139    79   180
15    57   125
163    80   192
51    52   121
114    80   167
81    93   120
254    87   261
185    81   249
98    40   124
44    45    99
99    45   128
97    83   127
189    77   194
65    66    97
96    83   126
98    82   129
95    82   124
128    94   129
99    82   122
223   131   260
127    83   213
204    89   252
197    84   248
214    87   253
191    88   229
25    70   169
186    84   264
179   130   228
32    76   190
152    90   182
123    93   215
224    88   259
36    37   149
17   100   232
223   101   258
116    71   154
116    89   158
135    85   187
195    85   241
250    86   265
150    86   209
83    96   193
200   111   248
140   102   240
214   112   261
55    56   119
118    92   163
159    91   167
147    86   150
47    48   155
155   112   214
158    89   204
199    89   235
153    90   207
117    90   152
121    92   161
150   110   192
125    57   166
125    91   171
94    81   164
129    94   164
52    53   162
113    92   162
82    95   122
44    99   122
4    93   123
153   105   180
6    41   170
82    98   124
80   113   167
159   119   171
22    96   126
83    97   126
63    97   127
197   111   213
9    94   128
82    99   128
5    98   164
82   128   129
175   130   221
186   131   231
178   101   257
231   131   258
142    77   222
194   103   245
195   133   199
201   108   205
30    74   206
189   133   234
181   104   187
178   130   225
184   123   215
180   105   236
23    68   226
176   103   247
135   104   183
144    88   191
184   136   236
253    87   254
78   135   183
157   110   188
169   108   201
204   132   205
247   103   255
197   137   202
258   101   266
156   111   200
188   140   240
148   106   191
179    78   218
79   139   177
177   102   262
110   140   188
140   110   209
232   174   238
152   106   244
224   138   229
184   105   203
149    90   165
80   114   150
114   147   150
81    94   151
155   115   208
144   106   182
1    34   172
203   105   207
79   144   182
195   109   237
154   109   235
48   112   155
185   115   214
156   127   213
20   127   156
157   118   192
49   118   157
169    70   210
189   132   204
166   114   167
13    54   217
160    60   196
186   107   230
92   118   161
11   121   161
159   113   168
92   121   162
92   113   163
80   150   192
81   120   164
98   129   164
90   117   165
36   149   165
16   114   166
91   125   166
113   159   167
91   166   167
13   159   168
113   162   168
158   108   169
26   116   210
41    95   170
95   124   170
56   125   171
91   159   171
34   117   172
172   117   244
234   133   241
219   135   263
160   107   232
100   160   232
86   147   221
238   174   266
202   137   255
205   132   245
88   144   220
177   139   227
223   173   257
85   135   219
218   145   262
102   140   218
212   139   261
79   153   180
237   134   251
224   104   239
106   152   182
90   153   182
183   104   224
206   138   239
38   123   184
185   136   215
208   115   249
236   136   253
202   142   264
196   143   230
104   135   187
134   181   251
227   146   240
10   157   188
226   141   245
89   116   235
106   148   190
117   152   244
106   144   191
211   148   229
110   157   192
118   163   192
230   143   248
246   176   247
77   142   194
132   189   194
237   109   243
219   173   241
19   143   196
107   160   196
193   137   197
111   156   213
181   134   216
109   154   198
199   133   252
109   195   199
111   197   248
62   156   200
132   194   245
69   169   201
194   142   255
84   197   202
90   149   207
3   184   203
108   158   204
133   189   252
141   201   205
108   204   205
31   148   211
104   181   239
105   153   207
149   203   207
81   151   249
47   155   208
218   140   250
110   150   209
116   158   210
158   169   210
148   191   229
138   206   211
112   146   212
212   146   227
83   193   213
193   197   213
115   155   214
136   185   253
136   184   215
93   185   215
29   181   216
216   134   243
54   119   217
119   159   217
78   145   218
221   130   265
219   178   257
228   178   263
220   177   262
144   177   220
221   147   233
130   179   265
222   186   264
131   186   222
77   189   234
234   173   260
220   145   259
145   183   259
130   175   225
101   178   225
68   141   226
103   176   226
102   177   227
139   212   227
130   178   228
78   179   228
138   211   229
88   224   229
84   186   230
107   196   230
131   223   258
107   186   231
231   174   232
107   231   232
58   175   233
175   221   233
133   195   241
131   222   260
116   154   235
109   199   235
112   212   261
105   184   236
85   195   237
109   198   243
225   175   266
17   232   238
239   181   256
138   224   239
146   188   240
102   227   240
85   219   241
173   234   241
242   176   246
23   176   242
72   216   243
134   237   243
33   172   244
106   190   244
141   205   245
103   226   245
137   193   246
96   242   246
103   194   255
137   246   247
143   200   248
84   230   248
115   185   249
151   208   249
140   209   250
179   218   250
181   187   251
85   237   251
89   199   252
189   204   252
185   214   253
139   180   254
180   236   254
236   253   254
142   202   255
137   247   255
30   206   256
206   239   256
173   219   257
101   223   257
101   225   266
174   231   258
88   220   259
183   224   259
173   223   260
77   234   260
87   214   261
139   254   261
102   218   262
145   220   262
178   219   263
78   228   263
84   202   264
142   222   264
86   221   265
179   250   265
175   238   266
174   258   266
